date,code,shares,buy_price,buy_date,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,weight
2026-03-26,000703,2600,12.29,2026-03-24,12.59,32734.0,770.41,2.41,5.3999999999999995
2026-03-26,000792,100,37.3,2026-03-25,36.85,3685.0,-46.12,-1.24,2.6999999999999997
2026-03-26,002281,100,84.77,2026-03-26,85.0,8500.0,20.46,0.24,7.3709999999999996
2026-03-26,002429,800,9.71,2026-03-26,9.64,7712.0,-58.33,-0.75,5.265
2026-03-26,002812,300,50.9,2026-02-02,70.19,21057.0,5782.42,37.86,5.265
2026-03-26,600105,100,26.25,2026-03-26,25.39,2539.0,-86.79,-3.31,3.51
2026-03-26,600487,100,46.08,2026-03-25,47.88,4788.0,178.62,3.88,10.53
2026-03-26,601117,100,9.36,2026-03-26,9.13,913.0,-23.28,-2.49,7.02
2026-03-26,601126,200,31.8,2026-01-08,44.84,8968.0,2606.09,40.96,2.6999999999999997
2026-03-26,601991,2000,4.18,2026-03-25,4.39,8780.0,417.49,4.99,2.6999999999999997
2026-03-27,000516,400,4.9,2026-03-25,5.17,2068.0,107.41,5.48,6.75
2026-03-27,000703,2600,12.29,2026-03-24,12.43,32318.0,354.41,1.11,5.3999999999999995
2026-03-27,000792,100,37.3,2026-03-25,39.45,3945.0,213.88,5.73,2.6999999999999997
2026-03-27,002812,300,50.9,2026-02-02,72.17,21651.0,6376.42,41.75,5.265
2026-03-27,600487,100,46.08,2026-03-25,48.95,4895.0,285.62,6.2,10.53
2026-03-27,601126,200,31.8,2026-01-08,45.78,9156.0,2794.09,43.92,2.6999999999999997
2026-03-27,601991,2000,4.18,2026-03-25,4.48,8960.0,597.49,7.14,2.6999999999999997
2026-03-30,000516,400,4.9,2026-03-25,5.15,2060.0,99.41,5.07,6.75
2026-03-30,000703,2600,12.29,2026-03-24,12.35,32110.0,146.41,0.46,5.3999999999999995
2026-03-30,000792,100,37.3,2026-03-25,39.06,3906.0,174.88,4.69,2.6999999999999997
2026-03-30,002812,300,50.9,2026-02-02,74.2,22260.0,6985.42,45.73,5.265
2026-03-30,600487,100,46.08,2026-03-25,53.85,5385.0,775.62,16.83,10.53
2026-03-30,601126,200,31.8,2026-01-08,44.87,8974.0,2612.09,41.06,2.6999999999999997
2026-04-01,000516,400,4.9,2026-03-25,5.18,2072.0,111.41,5.68,6.75
2026-04-01,000703,2600,12.29,2026-03-24,12.68,32968.0,1004.41,3.14,5.3999999999999995
2026-04-01,002812,300,50.9,2026-02-02,66.87,20061.0,4786.42,31.34,5.265
2026-04-01,600487,100,46.08,2026-03-25,51.96,5196.0,586.62,12.73,10.53
2026-04-01,601126,200,31.8,2026-01-08,44.41,8882.0,2520.09,39.61,2.6999999999999997
2026-04-02,000516,400,4.9,2026-03-25,5.08,2032.0,71.41,3.64,6.75
2026-04-02,000703,2600,12.29,2026-03-24,12.73,33098.0,1134.41,3.55,5.3999999999999995
2026-04-02,002463,400,79.0,2026-04-02,76.27,30508.0,-1101.48,-3.48,4.3875
2026-04-02,002812,300,50.9,2026-02-02,65.9,19770.0,4495.42,29.43,5.265
