date,close_sh,amount_sh,amount_sz,amount_total
2023-12-08,2969.5594,423492311900.0,538252151000.0,961744462900.0
2023-12-11,2991.4385,405351583200.0,506145969500.0,911497552700.0
2023-12-12,3003.4378,333170576400.0,454324857100.0,787495433500.0
2023-12-13,2968.7606,331476614700.0,437067128800.0,768543743500.0
2023-12-14,2958.9856,312658124600.0,424317999600.0,736976124200.0
2023-12-15,2942.5568,322083690800.0,411123703200.0,733207394000.0
2023-12-18,2930.8036,304915893000.0,387729425300.0,692645318300.0
2023-12-19,2932.3908,283234126200.0,359542447300.0,642776573500.0
2023-12-20,2902.1096,290838402100.0,372789942200.0,663628344300.0
2023-12-21,2918.7149,315943775500.0,416543193700.0,732486969200.0
2023-12-22,2914.7752,327498019600.0,451945061300.0,779443080900.0
2023-12-25,2918.8126,261487251000.0,346625188400.0,608112439400.0
2023-12-26,2898.8787,260220552800.0,349655025900.0,609875578700.0
2023-12-27,2914.6138,279048608000.0,357786160700.0,636834768700.0
2023-12-28,2954.7035,392449073500.0,491969687000.0,884418760500.0
2023-12-29,2974.9348,349002967300.0,473608947000.0,822611914300.0
2024-01-02,2962.2762,345950729200.0,441826397300.0,787777126500.0
2024-01-03,2967.2472,321018391300.0,416452702100.0,737471093400.0
2024-01-04,2954.3486,296291346900.0,377140370100.0,673431717000.0
2024-01-05,2929.1833,325917001200.0,410386979300.0,736303980500.0
2024-01-08,2887.5379,290730589600.0,366871509500.0,657602099100.0
2024-01-09,2893.2513,294446373700.0,379819298600.0,674265672300.0
2024-01-10,2877.7023,281192192400.0,365827057800.0,647019250200.0
2024-01-11,2886.6502,298552532900.0,413523453300.0,712075986200.0
2024-01-12,2881.9769,282877466300.0,393788411700.0,676665878000.0
2024-01-15,2886.2908,269229737100.00003,341693774100.0,610923511200.0
2024-01-16,2893.9886,300837919200.0,383997197900.0,684835117100.0
2024-01-17,2833.6152,283073939800.0,354455914300.0,637529854100.0
2024-01-18,2845.7839,400709904700.0,464080667800.0,864790572500.0
2024-01-19,2832.2793,296717043800.0,369892377000.0,666609420800.0
2024-01-22,2756.3399,359918989600.0,434149104400.0,794068094000.0
2024-01-23,2770.9763,312191330200.0,392050613600.0,704241943800.0
2024-01-24,2820.7719,357316181600.0,409638474000.0,766954655600.0
2024-01-25,2906.1087,437679811300.0,453753233000.0,891433044300.0
2024-01-26,2910.2227,402400231300.0,426293465200.0,828693696500.0
2024-01-29,2883.356,397014731400.0,408207940100.0,805222671500.0
2024-01-30,2830.5266,329254005900.0,334386095300.0,663640101200.0
2024-01-31,2788.5482,355636999800.0,402618307500.0,758255307300.0
2024-02-01,2770.7403,337547960500.0,365451472800.0,702999433300.0
2024-02-02,2730.152,392661142300.0,413026082200.0,805687224500.0
2024-02-05,2702.185,424877418300.0,452502742900.0,877380161200.0
2024-02-06,2789.486,441215054100.0,485109903000.0,926324957100.0
2024-02-07,2829.6956,495919878100.0,526013314800.0,1021933192900.0
2024-02-08,2865.9032,482939732000.0,534522708200.0,1017462440200.0
2024-02-19,2910.544,442148454600.0,515139483400.0,957287938000.0
2024-02-20,2922.7302,357057492000.0,432390342900.0,789447834900.0
2024-02-21,2950.9556,450922050700.0,529328781500.0,980250832200.0
2024-02-22,2988.3578,365264217900.0,457124201200.0,822388419100.0
2024-02-23,3004.881,398232220700.0,523724591600.0,921956812300.0
2024-02-26,2977.0221,427564895800.0,561535479000.0,989100374800.0
2024-02-27,3015.4807,412614978500.0,577389504500.0,990004483000.0
2024-02-28,2957.8524,576555221700.0,780099170800.0,1356654392500.0
2024-02-29,3015.1712,452808746100.0,599849958700.0,1052658704800.0
2024-03-01,3027.0204,442984248200.0,612260432100.0,1055244680300.0
2024-03-04,3039.3055,461727516600.0,615375587100.0,1077103103700.0
2024-03-05,3047.7931,458900476800.0,608149760400.0,1067050237200.0
2024-03-06,3039.9309,401334635600.0,530447564700.0,931782200300.0
2024-03-07,3027.4013,423391257000.0,558270858900.0,981662115900.0
2024-03-08,3046.0192,370647474800.0,489979325200.0,860626800000.0
2024-03-11,3068.4554,427851361300.0,577960576000.0,1005811937300.0
2024-03-12,3055.935,494558502800.0,650816829400.0,1145375332200.0
2024-03-13,3043.8346,442453946300.0,612318352600.0,1054772298900.0
2024-03-14,3038.2339,436338838300.0,570907335100.0,1007246173400.0
2024-03-15,3054.6359,405917704000.0,538637335200.00006,944555039200.0
2024-03-18,3084.9262,485520636500.0,652383878100.0,1137904514600.0
2024-03-19,3062.7558,446930657800.0,631009846300.0,1077940504100.0
2024-03-20,3079.6859,407432569700.0,592551703400.0,999984273100.0
2024-03-21,3077.113,437634616300.0,630132949200.0,1067767565500.0
2024-03-22,3048.0336,456762466600.0,640543546600.0,1097306013200.0
2024-03-25,3026.3055,443472341300.0,599961542400.0,1043433883700.0
2024-03-26,3031.4809,396410716100.0,559544397100.0,955955113200.0
2024-03-27,2993.1388,376242896100.0,512601122800.0,888844018900.0
2024-03-28,3010.6636,392929088700.0,539300591600.0,932229680300.0
2024-03-29,3041.1669,364571210100.0,494000509700.0,858571719800.0
2024-04-01,3077.3786,420902006800.0,578417634300.0,999319641100.0
2024-04-02,3074.9586,396705813300.0,570933557500.0,967639370800.0
2024-04-03,3069.2959,392704394000.0,525224147900.0,917928541900.0
2024-04-08,3047.0526,421808399700.0,509541036800.0,931349436500.0
2024-04-09,3048.5369,347834663500.0,448490514900.0,796325178400.0
2024-04-10,3027.3349,364717833500.0,465259775100.0,829977608600.0
2024-04-11,3034.2464,364147836500.0,448638280000.0,812786116500.0
2024-04-12,3019.4735,363119193000.0,447034865000.0,810154058000.0
2024-04-15,3057.3776,459849043300.0,537279447300.0,997128490600.0
2024-04-16,3007.0681,435170805500.0,511939842800.0,947110648300.0
2024-04-17,3071.3806,416254660800.0,502192779000.0,918447439800.0
2024-04-18,3074.2246,441432075800.0,508191179300.0,949623255100.0
2024-04-19,3065.261,396614941100.0,463720868200.0,860335809300.0
2024-04-22,3044.5952,382192259200.0,439878814200.0,822071073400.0
2024-04-23,3021.9775,348651765400.0,426693435500.0,775345200900.0
2024-04-24,3044.8223,335157362700.0,460189348800.0,795346711500.0
2024-04-25,3052.9,315797661200.0,458498057900.0,774295719100.0
2024-04-26,3088.6357,484160093000.0,602218160000.0,1086378253000.0
2024-04-29,3113.0432,554918811200.0,656212223700.0,1211131034900.0
2024-04-30,3104.8245,473803228500.0,556846038500.0,1030649267000.0
2024-05-06,3140.7204,511256135600.0,591203235500.0,1102459371100.0
2024-05-07,3147.738,426951665900.0,541742341300.0,968694007200.0
2024-05-08,3128.4798,367220116500.0,497163155100.0,864383271600.0
2024-05-09,3154.3201,398979066900.0,502136810600.0,901115877500.0
2024-05-10,3154.5472,406707822800.0,505824672500.0,912532495300.0
2024-05-13,3148.0207,425963088200.0,483756728300.0,909719816500.0
2024-05-14,3145.7743,370069674900.0,454492183900.0,824561858800.0
2024-05-15,3119.9021,333005622200.0,428065544000.0,761071166200.0
2024-05-16,3122.401,377502921500.0,470285318500.0,847788240000.0
2024-05-17,3154.0263,389572549300.0,497791150300.0,887363699600.0
2024-05-20,3171.1451,448816915000.0,546626812600.0,995443727600.0
2024-05-21,3157.9657,346584200800.0,452661450100.0,799245650900.0
2024-05-22,3158.5399,364137830700.0,467146384200.0,831284214900.0
2024-05-23,3116.387,356689462900.0,491013757800.0,847703220700.0
2024-05-24,3088.8705,322748606400.0,441175644600.0,763924251000.0
2024-05-27,3124.0427,345383767800.0,429422966300.0,774806734100.0
2024-05-28,3109.5721,320985406500.0,420739719500.0,741725126000.0
2024-05-29,3111.0176,297512177300.0,410878750700.0,708390928000.0
2024-05-30,3091.6778,318475183000.0,404813032400.0,723288215400.0
2024-05-31,3086.8134,301121881300.0,413836989200.0,714958870500.0
2024-06-03,3078.4887,367608352500.0,463090357300.0,830698709800.0
2024-06-04,3091.1992,325589691900.0,420123243500.0,745712935400.0
2024-06-05,3065.4034,299722764400.0,388856345900.0,688579110300.0
2024-06-06,3048.7939,371317019000.0,474575479800.0,845892498800.0
2024-06-07,3051.2787,318911097500.0,397900984200.0,716812081700.0
2024-06-11,3028.0451,332683377800.0,370232405900.0,702915783700.0
2024-06-12,3037.4675,312058601500.0,379853638000.0,691912239500.0
2024-06-13,3028.9187,336871037100.0,415602507600.0,752473544700.0
2024-06-14,3032.6333,396194698300.0,451857661300.0,848052359600.0
2024-06-17,3015.8907,338146875600.0,413425805100.0,751572680700.0
2024-06-18,3030.2464,317319995700.0,419683139000.0,737003134700.0
2024-06-19,3018.0491,300290286700.0,404438476900.0,704728763600.0
2024-06-20,3005.4369,324101266400.0,400277389500.0,724378655900.0
2024-06-21,2998.1377,280275384800.0,339311003300.0,619586388100.0
2024-06-24,2963.0989,318595817700.0,376999773600.0,695595591300.0
